Index,Country,Year,Happiness Rank,Happiness Score,Freedom,Generosity,Life Expectancy,GDP/capita,Corruption
426,Kenya,2017,112,4.55299997329712,0.452763766050339,0.444860309362411,0.309988349676132,2.679124333768246,0.0646413192152977
427,Mozambique,2017,113,4.55000019073486,0.480791091918945,0.322228103876114,0.106654435396194,2.5105202435168863,0.179436385631561
428,Myanmar,2017,114,4.54500007629395,0.514492034912109,0.838075160980225,0.397522568702698,1.7256089453734338,0.188816204667091
429,Senegal,2017,115,4.53499984741211,0.377922266721725,0.183468893170357,0.409362852573395,1.311275070384588,0.115460447967052
430,Zambia,2017,116,4.51399993896484,0.461603492498398,0.249580144882202,0.257835894823074,1.073795963586587,0.0782135501503944
431,Iraq,2017,117,4.49700021743774,0.288555532693863,0.19963726401329,0.501180469989777,1.905967969496929,0.107215754687786
432,Gabon,2017,118,4.46500015258789,0.312328577041626,0.0437853783369064,0.356578588485718,1.68382838250431,0.0760467872023582
433,Ethiopia,2017,119,4.46000003814697,0.408842742443085,0.312650740146637,0.353409707546234,1.3056878630110351,0.165455713868141
434,Sri Lanka,2017,120,4.44000005722046,0.561213254928589,0.490863561630249,0.625130832195282,1.0,0.0736539661884308
435,Armenia,2017,121,4.37599992752075,0.198303267359734,0.0834880918264389,0.637524425983429,1.4332864153228952,0.0266744215041399
436,India,2017,122,4.31500005722046,0.469987004995346,0.231538489460945,0.455427616834641,1.210132672146514,0.0922268852591515
437,Mauritania,2017,123,4.29199981689453,0.0960980430245399,0.201870024204254,0.285349279642105,1.3913020008776986,0.136957004666328
438,Congo (Brazzaville),2017,124,4.29099988937378,0.435025870800018,0.120852127671242,0.28995743393898,1.574708223192697,0.0796181336045265
439,Georgia,2017,125,4.28599977493286,0.309410035610199,0.0540088154375553,0.649546980857849,1.4400963196546128,0.251666635274887
440,Congo (Kinshasa),2017,126,4.28000020980835,0.235961347818375,0.246455833315849,0.191407024860382,1.553095443842108,0.0602413564920425
441,Mali,2017,127,4.19000005722046,0.306613743305206,0.183354198932648,0.169365674257278,2.155903730180592,0.104970246553421
442,Ivory Coast,2017,128,4.17999982833862,0.447706192731857,0.201237469911575,0.0486421696841717,2.700805332952277,0.130061775445938
443,Cambodia,2017,129,4.16800022125244,0.633375823497772,0.385922968387604,0.429783403873444,1.311379976586411,0.0681059509515762
444,Sudan,2017,130,4.13899993896484,0.0149958552792668,0.182317450642586,0.290920823812485,2.09992157753265,0.089847519993782
445,Ghana,2017,131,4.11999988555908,0.423026293516159,0.256923943758011,0.295637726783752,1.0161693313664248,0.0253363698720932
446,Ukraine,2017,132,4.09600019454956,0.122974775731564,0.270061463117599,0.575903952121735,2.3053672700425567,0.0230294708162546
447,Uganda,2017,133,4.08099985122681,0.443185955286026,0.325766056776047,0.217632606625557,1.5257712196034616,0.057069718837738
448,Burkina Faso,2017,134,4.03200006484985,0.324367851018906,0.250864684581757,0.215844258666039,2.7515379227614476,0.120328105986118
449,Niger,2017,135,4.02799987792969,0.36365869641304,0.228673845529556,0.26850500702858,2.4152432338907346,0.138572946190834
450,Malawi,2017,136,3.97000002861023,0.466914653778076,0.287170469760895,0.315089583396912,1.727179964218885,0.0727116540074348
451,Chad,2017,137,3.93600010871887,0.16234202682972,0.216113850474358,0.0411347150802612,2.1335345125305776,0.0535818822681904
452,Zimbabwe,2017,138,3.875,0.336384207010269,0.189143493771553,0.196763753890991,1.2978901701169696,0.0953753814101219
453,Lesotho,2017,139,3.80800008773804,0.390661299228668,0.157497271895409,0.0,1.9712345074253927,0.119094640016556
454,Angola,2017,140,3.79500007629395,0.0,0.097926490008831,0.0498686656355858,1.2700547375820386,0.0697203353047371
455,Afghanistan,2017,141,3.79399991035461,0.106179520487785,0.311870932579041,0.180746778845787,1.2349370535554798,0.0611578300595284
456,Botswana,2017,142,3.76600003242493,0.505196332931519,0.0993484482169151,0.341755509376526,1.440485198157155,0.0985831990838051
457,Benin,2017,143,3.65700006484985,0.425962775945663,0.207948461174965,0.209930211305618,2.887063801439518,0.0609290152788162
458,Madagascar,2017,144,3.64400005340576,0.189196765422821,0.208732530474663,0.375223308801651,1.0718648693583321,0.0672319754958153
459,Haiti,2017,145,3.6029999256134,0.0303698573261499,0.489203780889511,0.277321130037308,1.5846760474934096,0.0998721495270729
460,Yemen,2017,146,3.59299993515015,0.249463722109795,0.104125209152699,0.310080915689468,1.3300280071241117,0.0567674227058887
461,South Sudan,2017,147,3.59100008010864,0.147062435746193,0.285670816898346,0.163486003875732,1.2315086961713357,0.116793513298035
462,Liberia,2017,148,3.53299999237061,0.332881182432175,0.26654988527298,0.229918196797371,1.0816633551622767,0.0389482490718365
463,Guinea,2017,149,3.50699996948242,0.348587512969971,0.264815092086792,0.194129139184952,1.4076617577422088,0.110937617719173
464,Togo,2017,150,3.49499988555908,0.38042613863945,0.196896150708199,0.247105568647385,1.1902578924638296,0.0956650152802467
465,Rwanda,2017,151,3.47099995613098,0.581843852996826,0.252756029367447,0.326424807310104,1.5925555657401724,0.455220013856888
466,Syria,2017,152,3.46199989318848,0.0815394446253777,0.493663728237152,0.50053334236145,1.294494148602085,0.151347130537033
467,Tanzania,2017,153,3.34899997711182,0.390017777681351,0.354256361722946,0.364509284496307,1.3768799036465078,0.0660351067781448
468,Burundi,2017,154,2.90499997138977,0.0599007532000542,0.204435184597969,0.151610791683197,1.2486712675700475,0.0841479450464249
469,Central African Republic,2017,155,2.69300007820129,0.270842045545578,0.280876487493515,0.0187726859003305,1.331957946602422,0.0565650761127472
470,Finland,2018,1,7.632,0.681,0.202,0.874,4.041071986625883,0.393
471,Norway,2018,2,7.594,0.686,0.286,0.861,3.6778193183402643,0.34
472,Denmark,2018,3,7.555,0.683,0.284,0.868,3.763991637443416,0.408
473,Iceland,2018,4,7.495,0.677,0.353,0.914,4.301655721079145,0.138
474,Switzerland,2018,5,7.487,0.66,0.256,0.927,3.7670417057806596,0.357
475,Netherlands,2018,6,7.441,0.638,0.333,0.878,3.6336948659257877,0.295
476,Canada,2018,7,7.328,0.653,0.321,0.896,3.778926596028692,0.291
477,New Zealand,2018,8,7.324,0.669,0.365,0.876,3.787514502988358,0.389
478,Sweden,2018,9,7.314,0.659,0.285,0.913,3.4909712757411335,0.383
479,Australia,2018,10,7.272,0.647,0.361,0.91,3.7946037815184974,0.302
480,United Kingdom,2018,11,7.19,0.464,0.262,0.888,3.416340674422117,0.082
481,Austria,2018,12,7.139,0.617,0.242,0.891,2.6006983366953644,0.224
482,Costa Rica,2018,13,7.072,0.632,0.143,0.817,3.8084793929070075,0.101
483,Ireland,2018,14,6.977,0.614,0.307,0.876,2.7746926935414247,0.306
484,Germany,2018,15,6.965,0.586,0.273,0.861,4.032997919411201,0.28
485,Belgium,2018,16,6.927,0.583,0.188,0.894,2.667762216950317,0.24
486,Luxembourg,2018,17,6.91,0.632,0.196,0.896,4.777464660331185,0.321
487,United States,2018,18,6.886,0.547,0.291,0.819,3.8036456941264314,0.133
488,Israel,2018,19,6.814,0.533,0.354,0.883,3.6981030537315718,0.272
489,United Arab Emirates,2018,20,6.774,0.284,0.186,0.67,4.1673069006823065,
490,Czech Republic,2018,21,6.711,0.543,0.064,0.854,3.547950099691773,0.034
491,Malta,2018,22,6.627,0.645,0.376,0.884,3.8966219066312457,0.142
492,France,2018,23,6.489,0.52,0.098,0.908,2.8412383617392964,0.176
